Scenario ID,Incident Description,MITRE ATT&CK Tactic,MITRE ATT&CK Technique,MITRE ATT&CK ID,Detection Point,DoD Category,CISA Label(s),Verizon Label,UCIT Initial Label,UCIT Final Technique
INC-101,Spearphishing email leads to credential harvesting via fake login portal hosted on typo-squatted domain,Credential Access,Phishing for Information,T1598,Early,CAT-2: User Level Intrusion,Email/Phishing,Social Engineering,System Intrusion – Credential Access – User,Credential Access
INC-102,Malicious Chrome extension silently captures form inputs and sends data to attacker C2,Collection,Input Capture,T1056,Late,CAT-7: Malicious Logic,Other,Privilege Misuse,System Intrusion – Collection – User,Collection
INC-103,Compromised service account used to move laterally via SMB and access internal code repository,Lateral Movement,Remote Services,T1021,Mid,CAT-1: Root Level Intrusion,Unauthorized Access,Privilege Misuse,System Intrusion – Lateral Movement – Root,Lateral Movement
INC-104,Exploit of outdated VPN software leads to root shell access on gateway system,Initial Access,Exploit Public-Facing Application,T1190,Early,CAT-1: Root Level Intrusion,Web,System Intrusion,System Intrusion – Initial Access – Root,Initial Access
INC-105,Attacker exfiltrates R&D data using OneDrive sync folder from a compromised dev workstation,Exfiltration,Exfiltration Over Web Service,T1567,Late,CAT-7: Malicious Logic,Other,System Intrusion,System Intrusion – Exfiltration – User,Exfiltration
INC-106,"Ransomware actor gains access via brute-force RDP login, then disables endpoint AV",Defense Evasion,Impair Defenses,T1562,Mid,CAT-1: Root Level Intrusion,Attrition,System Intrusion,System Intrusion – Defense Evasion – Root,Impact
INC-107,"External drive loads staged payload through Autorun, triggering lateral movement script",Lateral Movement,Replication Through Removable Media,T1091,Mid,CAT-2: User Level Intrusion,External/Removable Media,System Intrusion,System Intrusion – Lateral Movement – User,Lateral Movement
INC-108,Unpatched Exchange server exploited to drop web shell and access mailboxes,Persistence,Server Software Component,T1505,Mid,CAT-1: Root Level Intrusion,Web,System Intrusion,System Intrusion – Persistence – Root,Persistence
INC-109,Encrypted tunnel over DNS used for data exfiltration from financial terminals,Command and Control,Application Layer Protocol,T1071,Mid,CAT-7: Malicious Logic,Other,System Intrusion,System Intrusion – Command and Control – User,Exfiltration
INC-110,Phishing link to spoofed MFA login leads to adversary access in O365 portal,Initial Access,Valid Accounts,T1078,Early,CAT-2: User Level Intrusion,Email/Phishing,Social Engineering,System Intrusion – Initial Access – User,Credential Access
INC-111,Attacker uses scheduled task to maintain persistence on compromised domain controller,Persistence,Scheduled Task/Job,T1053,Mid,CAT-1: Root Level Intrusion,Other,System Intrusion,System Intrusion – Persistence – Root,Persistence
INC-112,Drive-by compromise through iframe injection drops loader via browser exploit,Execution,Exploitation for Client Execution,T1203,Early,CAT-2: User Level Intrusion,Web,Basic Web Application Attacks,System Intrusion – Execution – User,Execution
INC-113,Kerberoasting technique executed to extract service account hashes from AD,Credential Access,Kerberoasting,T1558,Mid,CAT-2: User Level Intrusion,Unauthorized Access,Privilege Misuse,System Intrusion – Credential Access – User,Credential Access
INC-114,"PowerShell stager connects to public pastebin C2, downloads second-stage payload",Command and Control,Application Layer Protocol,T1071,Mid,CAT-7: Malicious Logic,Other,System Intrusion,System Intrusion – Command and Control – User,Execution
INC-115,Rogue IT staff installs screen recorder on VIP's workstation,Collection,Screen Capture,T1113,Late,CAT-2: User Level Intrusion,Improper Usage,Privilege Misuse,System Intrusion – Collection – User,Collection
INC-116,Attacker abuses AWS API access to discover misconfigured S3 buckets,Discovery,Cloud Service Discovery,T1526,Mid,CAT-6: Reconnaissance,Other,System Intrusion,System Intrusion – Discovery – User,Discovery
INC-117,WMI used to move from one user subnet to another during staged campaign,Lateral Movement,Windows Remote Management,T1028,Mid,CAT-2: User Level Intrusion,Other,System Intrusion,System Intrusion – Lateral Movement – User,Lateral Movement
INC-118,Data encrypted on internal servers after successful login reuse from breached credentials,Impact,Data Encrypted for Impact,T1486,Late,CAT-1: Root Level Intrusion,Attrition,System Intrusion,System Intrusion – Impact – Root,Impact
INC-119,Post-exploitation script uses 'whoami' and 'net user' to inventory user roles,Discovery,System Information Discovery,T1082,Mid,CAT-2: User Level Intrusion,Other,System Intrusion,System Intrusion – Discovery – User,Discovery
INC-120,Attacker uses company helpdesk portal to reset MFA for targeted executive,Initial Access,Phishing for Information,T1598,Early,CAT-2: User Level Intrusion,Impersonation/Spoofing,Social Engineering,System Intrusion – Initial Access – User,Credential Access
INC-121,Attacker sends custom malware disguised as resume through job board upload portal,Execution,User Execution,T1204,Early,CAT-2: User Level Intrusion,Web,Basic Web Application Attacks,System Intrusion – Execution – User,Execution
